ZIPCode,State,ZIPCodeType,POName,PrimaryRUCA,SecondaryRUCA
12074,NY,ZIP Code Area,Galway,2,2
12075,NY,ZIP Code Area,Ghent,10,10
12076,NY,ZIP Code Area,Gilboa,10,10
12077,NY,ZIP Code Area,Glenmont,1,1
12078,NY,ZIP Code Area,Gloversville,4,4
12082,NY,Post Office or large volume customer,Grafton,2,2
12083,NY,ZIP Code Area,Greenville,2,2
12084,NY,ZIP Code Area,Guilderland,1,1
12085,NY,Post Office or large volume customer,Guilderland Center,2,2
12086,NY,ZIP Code Area,Hagaman,4,4
12087,NY,ZIP Code Area,Hannacroix,2,2
12089,NY,Post Office or large volume customer,Hoosick,10,10
12090,NY,ZIP Code Area,Hoosick Falls,10,10
12092,NY,ZIP Code Area,Howes Cave,7,7
12093,NY,ZIP Code Area,Jefferson,10,10
12094,NY,ZIP Code Area,Johnsonville,2,2
12095,NY,ZIP Code Area,Johnstown,4,4
12106,NY,ZIP Code Area,Kinderhook,3,3
12107,NY,Post Office or large volume customer,Knox,2,2
12108,NY,ZIP Code Area,Lake Pleasant,10,10
12110,NY,ZIP Code Area,Latham,1,1
12115,NY,ZIP Code Area,Malden Bridge,10,10
12116,NY,ZIP Code Area,Maryland,10,10
12117,NY,ZIP Code Area,Mayfield,5,5
12118,NY,ZIP Code Area,Mechanicville,2,2
12120,NY,ZIP Code Area,Medusa,2,2
12121,NY,ZIP Code Area,Melrose,2,2
12122,NY,ZIP Code Area,Middleburgh,2,2
12123,NY,ZIP Code Area,Nassau,2,2
12124,NY,ZIP Code Area,New Baltimore,2,2
12125,NY,ZIP Code Area,New Lebanon,10,10
12128,NY,Post Office or large volume customer,Newtonville,1,1
12130,NY,ZIP Code Area,Niverville,2,2
12131,NY,ZIP Code Area,North Blenheim,10,10
12132,NY,Post Office or large volume customer,North Chatham,10,10
12133,NY,Post Office or large volume customer,North Hoosick,10,10
12134,NY,ZIP Code Area,Northville,6,6
12136,NY,ZIP Code Area,Old Chatham,10,10
12137,NY,ZIP Code Area,Pattersonville,2,2
12138,NY,ZIP Code Area,Petersburg,3,3
12139,NY,ZIP Code Area,Piseco,10,10
12140,NY,ZIP Code Area,Poestenkill,2,2
12141,NY,Post Office or large volume customer,Quaker Street,2,2
12143,NY,ZIP Code Area,Ravena,2,2
12144,NY,ZIP Code Area,Rensselaer,1,1
12147,NY,ZIP Code Area,Rensselaerville,2,2
12148,NY,ZIP Code Area,Rexford,1,1
12149,NY,ZIP Code Area,Richmondville,3,3
12150,NY,ZIP Code Area,Rotterdam Junction,2,2
12151,NY,ZIP Code Area,Round Lake,1,1
12153,NY,ZIP Code Area,Sand Lake,1,1
12154,NY,ZIP Code Area,Schaghticoke,2,2
12155,NY,ZIP Code Area,Schenevus,10,10
12156,NY,ZIP Code Area,Schodack Landing,2,2
12157,NY,ZIP Code Area,Schoharie,2,2
12158,NY,ZIP Code Area,Selkirk,2,2
12159,NY,ZIP Code Area,Slingerlands,1,1
12160,NY,ZIP Code Area,Sloansville,3,3
12161,NY,ZIP Code Area,South Bethlehem,2,2
12164,NY,ZIP Code Area,Speculator,10,10
12165,NY,ZIP Code Area,Spencertown,10,10
12166,NY,ZIP Code Area,Sprakers,3,3
12167,NY,ZIP Code Area,Stamford,10,10
12168,NY,ZIP Code Area,Stephentown,2,2
12169,NY,ZIP Code Area,Stephentown,2,2
12170,NY,ZIP Code Area,Stillwater,2,2
12172,NY,ZIP Code Area,Stottville,6,6
12173,NY,ZIP Code Area,Stuyvesant,6,6
12174,NY,ZIP Code Area,Stuyvesant Falls,6,6
12175,NY,ZIP Code Area,Summit,3,3
12176,NY,ZIP Code Area,Surprise,2,2
12177,NY,ZIP Code Area,Tribes Hill,3,3
12180,NY,ZIP Code Area,Troy,1,1
12181,NY,Post Office or large volume customer,Troy,1,1
12182,NY,ZIP Code Area,Troy,1,1
12183,NY,ZIP Code Area,Troy,1,1
12184,NY,ZIP Code Area,Valatie,2,2
12185,NY,ZIP Code Area,Valley Falls,2,2
12186,NY,ZIP Code Area,Voorheesville,1,1
12187,NY,ZIP Code Area,Warnerville,3,3
12188,NY,ZIP Code Area,Waterford,1,1
12189,NY,ZIP Code Area,Watervliet,1,1
12190,NY,ZIP Code Area,Wells,10,10
12192,NY,ZIP Code Area,West Coxsackie,2,2
12193,NY,ZIP Code Area,Westerlo,2,2
12194,NY,ZIP Code Area,West Fulton,10,10
12195,NY,Post Office or large volume customer,West Lebanon,10,10
12196,NY,ZIP Code Area,West Sand Lake,2,2
12197,NY,ZIP Code Area,Worcester,10,10
12198,NY,ZIP Code Area,Wynantskill,1,1
12201,NY,Post Office or large volume customer,Albany,1,1
12202,NY,ZIP Code Area,Albany,1,1
12203,NY,ZIP Code Area,Albany,1,1
12204,NY,ZIP Code Area,Albany,1,1
12205,NY,ZIP Code Area,Albany,1,1
12206,NY,ZIP Code Area,Albany,1,1
12207,NY,ZIP Code Area,Albany,1,1
12208,NY,ZIP Code Area,Albany,1,1
12209,NY,ZIP Code Area,Albany,1,1
12210,NY,ZIP Code Area,Albany,1,1
12211,NY,ZIP Code Area,Albany,1,1
12212,NY,Post Office or large volume customer,Albany,1,1
12214,NY,Post Office or large volume customer,Albany,1,1
12220,NY,Post Office or large volume customer,Albany,1,1
12222,NY,Post Office or large volume customer,Albany,1,1
12223,NY,Post Office or large volume customer,Albany,1,1
12224,NY,Post Office or large volume customer,Albany,1,1
12225,NY,Post Office or large volume customer,Albany,1,1
12226,NY,Post Office or large volume customer,Albany,1,1
12227,NY,Post Office or large volume customer,Albany,1,1
12228,NY,Post Office or large volume customer,Albany,1,1
12229,NY,Post Office or large volume customer,Albany,1,1
12230,NY,Post Office or large volume customer,Albany,1,1
12231,NY,Post Office or large volume customer,Albany,1,1
12232,NY,Post Office or large volume customer,Albany,1,1
12233,NY,Post Office or large volume customer,Albany,1,1
12234,NY,Post Office or large volume customer,Albany,1,1
